file_name,submitter_id,business_date,produced_at,landed_at
S1001_20260601_0209_POSFEED.txt,S1001,2026-06-01,2026-06-02T02:09:00Z,2026-06-02T02:12:00Z
S1002_20260601_0308_ECOMM.txt,S1002,2026-06-01,2026-06-02T03:08:00Z,2026-06-02T03:10:00Z
S1003_20260601_0218_MOBILE.txt,S1003,2026-06-01,2026-06-02T02:18:00Z,2026-06-02T02:20:00Z
S1004_20260601_0354_KIOSK.txt,S1004,2026-06-01,2026-06-02T03:54:00Z,2026-06-02T03:55:00Z
S1001_20260602_0233_POSFEED.txt,S1001,2026-06-02,2026-06-03T02:33:00Z,2026-06-03T02:37:00Z
S1002_20260602_0246_ECOMM.txt,S1002,2026-06-02,2026-06-03T02:46:00Z,2026-06-03T02:47:00Z
S1003_20260602_0218_MOBILE.txt,S1003,2026-06-02,2026-06-03T02:18:00Z,2026-06-03T02:21:00Z
S1004_20260602_0347_KIOSK.txt,S1004,2026-06-02,2026-06-03T03:47:00Z,2026-06-03T03:49:00Z
S1001_20260603_0221_POSFEED.txt,S1001,2026-06-03,2026-06-04T02:21:00Z,2026-06-04T02:24:00Z
S1002_20260603_0254_ECOMM.txt,S1002,2026-06-03,2026-06-04T02:54:00Z,2026-06-04T02:57:00Z
S1003_20260603_0232_MOBILE.txt,S1003,2026-06-03,2026-06-04T02:32:00Z,2026-06-04T02:35:00Z
S1004_20260603_0419_KIOSK.txt,S1004,2026-06-03,2026-06-04T04:19:00Z,2026-06-04T04:20:00Z
S1001_20260604_0213_POSFEED.txt,S1001,2026-06-04,2026-06-05T02:13:00Z,2026-06-05T02:16:00Z
S1002_20260604_0259_ECOMM.txt,S1002,2026-06-04,2026-06-05T02:59:00Z,2026-06-05T03:01:00Z
S1003_20260604_0238_MOBILE.txt,S1003,2026-06-04,2026-06-05T02:38:00Z,2026-06-05T02:39:00Z
S1004_20260604_0348_KIOSK.txt,S1004,2026-06-04,2026-06-05T03:48:00Z,2026-06-05T03:52:00Z
S1001_20260605_0239_POSFEED.txt,S1001,2026-06-05,2026-06-06T02:39:00Z,2026-06-06T02:40:00Z
S1002_20260605_0256_ECOMM.txt,S1002,2026-06-05,2026-06-06T02:56:00Z,2026-06-06T02:57:00Z
S1003_20260605_0216_MOBILE.txt,S1003,2026-06-05,2026-06-06T02:16:00Z,2026-06-06T02:20:00Z
S1004_20260605_0420_KIOSK.txt,S1004,2026-06-05,2026-06-06T04:20:00Z,2026-06-06T04:22:00Z
S1001_20260606_0230_POSFEED.txt,S1001,2026-06-06,2026-06-07T02:30:00Z,2026-06-07T02:32:00Z
S1002_20260606_0255_ECOMM.txt,S1002,2026-06-06,2026-06-07T02:55:00Z,2026-06-07T02:57:00Z
S1003_20260606_0227_MOBILE.txt,S1003,2026-06-06,2026-06-07T02:27:00Z,2026-06-07T02:30:00Z
S1004_20260606_0421_KIOSK.txt,S1004,2026-06-06,2026-06-07T04:21:00Z,2026-06-07T04:25:00Z
S1001_20260607_0228_POSFEED.txt,S1001,2026-06-07,2026-06-08T02:28:00Z,2026-06-08T02:30:00Z
S1002_20260607_0309_ECOMM.txt,S1002,2026-06-07,2026-06-08T03:09:00Z,2026-06-08T03:13:00Z
S1003_20260607_0216_MOBILE.txt,S1003,2026-06-07,2026-06-08T02:16:00Z,2026-06-08T02:20:00Z
